排名,话题词,热度值,标签,采集时间
1,世界杯开赛以来最大冷门,1652151,热,2026/6/16 8:39
2,沙特1比1乌拉圭,932542,新,2026/6/16 8:39
3,一图看懂基建六张网,919774,无,2026/6/16 8:39
4,西班牙0比0战平佛得角,911890,无,2026/6/16 8:39
5,韩国散户卖股票爆买豪宅,614836,新,2026/6/16 8:39
6,佛得角门将哭了,568989,无,2026/6/16 8:39
7,青岛方案全球共享,513422,无,2026/6/16 8:39
8,孟子义李昀锐尚公主十指紧扣,486052,新,2026/6/16 8:39
9,迪丽热巴走路腰发力,485035,新,2026/6/16 8:39
10,云台相机影石大疆谁更强,482434,新,2026/6/16 8:39
11,日系车巨头要为中国品牌代工了,480173,无,2026/6/16 8:39
12,贾玲体重反弹后反而开心了,477440,新,2026/6/16 8:39
13,北京退衣姐刑事拘留,474593,无,2026/6/16 8:39
14,世界杯 天台挤不下了,473546,新,2026/6/16 8:39
15,美国一架B52轰炸机坠毁,471307,新,2026/6/16 8:39
16,律师梳理朱一龙敲鼓各方责任,469400,新,2026/6/16 8:39
17,迪丽热巴圈内待遇,466957,新,2026/6/16 8:39
18,产子55天遭丈夫殴打最新进展,463780,新,2026/6/16 8:39
19,肥胖的最新标准,461281,无,2026/6/16 8:39
20,南部档案,459903,新,2026/6/16 8:39
21,AI宝可梦 看到正版皮卡丘了,456556,新,2026/6/16 8:39
22,5万欧身价零封5亿欧豪门,453095,新,2026/6/16 8:39
23,比利时1比1埃及,450636,无,2026/6/16 8:39
24,沙特vs乌拉圭,448915,无,2026/6/16 8:39
25,西班牙爆冷,447416,无,2026/6/16 8:39
26,男子参加幼儿园亲子马拉松猝死,445805,新,2026/6/16 8:39
27,上班最可怕的地方在于,442471,无,2026/6/16 8:39
28,原来是不是教师真的好明显,439371,无,2026/6/16 8:39
29,上海迪士尼十周年请了林志玲,436644,新,2026/6/16 8:39
30,毛晓彤真公主,436387,新,2026/6/16 8:39
31,亚马尔世界杯首秀,433149,无,2026/6/16 8:39
32,从副部级降为副处级后王铁二次被查,431550,无,2026/6/16 8:39
33,半导体牛股1分钟直线涨停,428068,新,2026/6/16 8:39
34,金价大涨女子后悔880元没上车,425249,新,2026/6/16 8:39
35,比利时vs埃及,422517,无,2026/6/16 8:39
36,不要低估第一年工作的消费欲,421381,无,2026/6/16 8:39
37,老板娘囤黄金亏到没心情跳广场舞,418168,无,2026/6/16 8:39
38,只靠4个狠招体脂降到18,415485,无,2026/6/16 8:39
39,西班牙25脚射门0进球,413765,无,2026/6/16 8:39
40,比利时 我不知道您这是怎么了,411593,无,2026/6/16 8:39
41,佛得角门将是爷爷奶奶带大的,408960,新,2026/6/16 8:39
42,佛得角门将一场比赛涨粉170万,407566,新,2026/6/16 8:39
43,产子55天遭丈夫殴打离婚案将开庭,403565,新,2026/6/16 8:39
44,王一博业内评价,401532,新,2026/6/16 8:39
45,Lucky变化好大,399178,新,2026/6/16 8:39
46,西班牙真没招了,398322,无,2026/6/16 8:39
47,魏大勋说的艺人是谁,395731,新,2026/6/16 8:39
48,五哈这股后劲太戳人了,392608,新,2026/6/16 8:39
49,雷军过早吃热干面的姿势太地道了,389437,新,2026/6/16 8:39
50,王玉雯裙摆塞满车,387925,无,2026/6/16 8:39
51,伊朗将对霍尔木兹海峡航运服务收费,385990,无,2026/6/16 8:39
